REFNUM,ACRE
00001275,433.0+
00001276,0.9+
00001277,0.9+
00001278,0.9+
00001279,0.9+
00001281,0.9+
00001282,0.9+
00001283,7360.0+
00001284,0.9+
00001285,0.4+
00001286,0.9+
00001287,255.0+
00001288,164.0+
00001289,4.6+
00001290,0.9+
00001291,76.4+
00001292,25.0+
00001293,156.9+
00001294,1.8+
00001295,0.9+
00001296,0.9+
00001298,0.3+
00001299,0.2+
00001300,0.3+
00001301,0.5+
00001302,1.6+
00001303,11.0+
00001304,0.3+
00001305,0.3+
00001306,0.2+
00001307,0.4+
00001308,125.0+
00001309,0.5+
00001310,164.0+
00001311,1.6+
00001312,0.9+
00001313,0.9+
00001314,0.1+
00001315,4.0+
00001316,5.0+
00001317,4.3+
00001319,0.9+
00001320,0.9+
00001321,66.5+
00001323,2.7+
00001324,3.5+
00001325,1.0+
00001326,710.0+
00001327,1.8+
00001329,2.0+
00001330,0.9+
00001331,0.9+
00001332,0.5+
00001333,0.9+
00001334,0.9+
00001336,38.0+
00001337,0.9+
00001338,0.9+
00001339,5.9+
00001340,0.9+
00001341,650.0+
00001342,0.9+
00001343,5.8+
00001344,300.0+
00001345,0.9+
00001346,108.0+
00001347,26.0+
00001348,0.9+
00001349,0.9+
00001350,0.9+
00001351,0.9+
00001352,0.9+
00001353,4.5+
00001354,42.0+
00001356,3.0+
00001357,2.4+
00001358,0.9+
00001359,0.9+
00001360,5.2+
00001361,0.9+
00001362,39.1+
00001363,250.0+
00001364,0.9+
00001365,2.0+
00001366,1.1+
00001367,0.9+
00001368,0.9+
00001370,0.9+
00001371,0.9+
00001372,4683.4+
00001373,0.9+
00001374,0.9+
00001375,0.9+
00001376,180.0+
00001377,4.0+
00001378,85.0+
00001379,1.1+
00001380,72.0+
00001381,0.9+
00001382,100.0+
00001383,133.8+
00001384,0.9+
00001385,1.8+
00001386,0.9+
00001387,45.0+
00001388,28.7+
00001389,0.9+
00001390,10.0+
00001391,0.7+
00001392,1.0+
00001393,12.0+
00001394,0.9+
00001395,0.9+
00001396,1.2+
00001397,0.9+
00001398,0.9+
00001399,0.9+
00001400,50.0+
00001402,0.9+
00001403,3626.0+
00001404,0.5+
00001405,1.0+
00001406,0.9+
00001407,0.9+
00001408,0.9+
00001409,70.0+
00001410,0.9+
00001411,0.9+
00001412,0.9+
00001413,0.9+
00001414,1.5+
00001415,0.9+
00001416,11.8+
00001417,18.0+
00001418,0.9+
00001419,0.9+
00001420,2.0+
00001421,3.0+
00001422,0.9+
00001423,0.9+
00001424,2.9+
00001425,4700.0+
00001426,90.0+
00001427,2.4+
00001428,0.9+
00001429,0.9+
00001430,107.0+
00001431,0.7+
00001432,15.0+
00001433,3.3+
00001434,0.9+
00001435,0.7+
00001436,3.0+
00001438,4.5+
00001439,2.1+
00001440,86.0+
00001441,2.5+
00001442,13.4+
00001444,0.9+
00001445,0.9+
00001446,0.9+
00001448,0.9+
00001449,2.3+
00001452,2.1+
00001453,2.0+
00001454,2.0+
00001455,0.9+
00001456,0.9+
00001458,150.7+
00001459,0.9+
00001460,3.4+
00001461,0.9+
00001462,0.9+
00001463,1.7+
00001464,0.9+
00001465,1.0+
00001466,0.2+
00001467,0.9+
00001468,0.9+
00001469,0.9+
00001470,50.0+
00001471,1.6+
00001474,6.0+
00001475,2.2+
00001476,290.0+
00001477,0.4+
00001478,0.9+
00001479,0.9+
00001480,1.5+
00001481,561.0+
00001482,0.9+
00001483,0.9+
00001484,7.6+
00001485,0.6+
00001486,28.0+
00001487,0.9+
00001488,0.9+
00001489,0.9+
00001490,0.9+
00001491,0.9+
00001493,81.0+
00001494,0.4+
00001495,4.1+
00001496,0.4+
00001497,9.0+
00001498,0.9+
00001499,76.0+
00001501,0.9+
00001502,30.0+
00001503,0.9+
00001504,18.8+
00001505,0.3+
00001506,4.2+
00001507,0.9+
00001508,0.9+
00001509,0.9+
00001511,16.0+
00001512,0.9+
00001513,22.0+
00001514,0.9+
00001517,0.9+
00001519,0.9+
00001520,0.9+
00001521,0.9+
00001522,0.9+
00001523,183.0+
00001524,0.9+
00001525,0.9+
00001526,11.0+
00001527,1.5+
00001528,0.9+
00001529,0.9+
00001530,0.1+
00001531,7.3+
00001532,1.6+
00001533,7.0+
00001534,12.6+
00001535,7.0+
00001536,0.9+
00001537,0.9+
00001538,0.9+
00001539,0.9+
00001540,0.9+
00001541,0.9+
00001542,0.9+
00001543,11.0+
00001544,0.9+
00001545,0.9+
00001546,23.0+
00001547,0.9+
00001548,0.9+
00001549,0.9+
00001550,0.9+
00001551,2.0+
00001552,5.0+
00001553,0.4+
00001554,0.9+
00001555,0.6+
00001556,8.0+
00001557,417.0+
00001558,1.9+
00001559,26.0+
00001560,5.0+
00001561,137.0+
00001562,0.3+
00001563,3.0+
00001564,3.8+
00001565,18.6+
00001566,0.9+
00001567,0.9+
00001568,0.9+
00001569,369.0+
00001570,0.9+
00001571,0.9+
00001572,5.0+
00001573,0.9+
00001576,0.9+
00001577,29.0+
00001578,4.0+
00001579,2.0+
00001580,1.0+
00001581,0.9+
00001582,20.0+
00001583,0.5+
00001584,1.2+
00001586,0.9+
00001587,0.9+
00001588,0.9+
00001589,0.9+
00001591,2.0+
00001592,0.9+
00001593,188.0+
00001594,0.9+
00001595,148.5+
00001596,165.0+
00001597,1.5+
00001598,0.4+
00001599,150.0+
00001600,21.3+
00001601,29.5+
00001602,0.9+
00001603,76.0+
00001605,42.0+
00001606,0.9+
00001607,2.0+
00001608,11.0+
00001610,8.5+
00001611,0.9+
00001612,0.9+
00001613,2.8+
00001614,1.2+
00001615,1.4+
00001616,5.2+
00001617,2756.0+
00001618,323.0+
00001622,0.9+
00001623,0.9+
00001624,0.9+
00001625,40.0+
00001626,14.2+
00001627,0.9+
00001628,119.0+
00001629,0.3+
00001630,5.0+
00001631,0.9+
00001632,0.9+
00001633,0.9+
00001634,0.9+
00001635,0.9+
00001636,4.0+
00001637,0.9+
00001638,7.0+
00001639,4.1+
00001640,1.2+
00001641,0.9+
00001642,2.8+
00001643,3.5+
00001644,0.9+
00001645,103.0+
00001646,2.4+
